character	code_point	readings	tier	references	details
𠠿	U+2083F	lì	cns11643	CNS-20260805:15-2228	內政部戶政用字(《CNS 11643》96年公布)
𠡁	U+20841	chì	cns11643	CNS-20260805:5-2233	罕用國字標準字體表(《CNS 11643》96年公布)
𠡃	U+20843	zuǒ zuò	cns11643	CNS-20260805:4-2345	罕用國字標準字體表(《CNS 11643》96年公布)
𠡆	U+20846	xuán	cns11643	CNS-20260805:15-2338	內政部戶政用字(《CNS 11643》96年公布)
𠡇	U+20847	tái	cns11643	CNS-20260805:15-233A	內政部戶政用字(《CNS 11643》96年公布)
𠡈	U+20848	mò miǎo	cns11643	CNS-20260805:15-233B	內政部戶政用字(《CNS 11643》96年公布)
𠡉	U+20849	gǔ	cns11643	CNS-20260805:10-2830	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠡋	U+2084B	yīng	cns11643	CNS-20260805:10-2832	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠡍	U+2084D	jìn jìng	cns11643	CNS-20260805:4-2349	異體國字字表(《CNS 11643》96年公布)
𠡓	U+20853	yì	cns11643	CNS-20260805:6-296D	異體國字字表(《CNS 11643》96年公布)
𠡖	U+20856	liú	cns11643	CNS-20260805:15-2560	內政部戶政用字(《CNS 11643》96年公布)
𠡗	U+20857	chén	cns11643	CNS-20260805:15-2561	內政部戶政用字(《CNS 11643》96年公布)
𠡘	U+20858	zài	cns11643	CNS-20260805:15-2562	內政部戶政用字(《CNS 11643》96年公布)
𠡙	U+20859	pú	cns11643	CNS-20260805:15-2563	內政部戶政用字(《CNS 11643》96年公布)
𠡟	U+2085F	jiū jiǔ	cns11643	CNS-20260805:4-284A	罕用國字標準字體表(《CNS 11643》96年公布)
𠡢	U+20862	yì	cns11643	CNS-20260805:5-282F	罕用國字標準字體表(《CNS 11643》96年公布)
𠡨	U+20868	wěi	cns11643	CNS-20260805:15-2943	內政部戶政用字(《CNS 11643》96年公布)
𠡩	U+20869	lí	cns11643	CNS-20260805:15-2944	內政部戶政用字(《CNS 11643》96年公布)
𠡪	U+2086A	diàn	cns11643	CNS-20260805:15-2945	內政部戶政用字(《CNS 11643》96年公布)
𠡫	U+2086B	yì	cns11643	CNS-20260805:6-3555	異體國字字表(《CNS 11643》96年公布)
𠡬	U+2086C	wā	cns11643	CNS-20260805:6-3559	異體國字字表(《CNS 11643》96年公布)
𠡯	U+2086F	zì	cns11643	CNS-20260805:5-2C29	罕用國字標準字體表(《CNS 11643》96年公布)
𠡰	U+20870	jué	cns11643	CNS-20260805:5-2C2B	罕用國字標準字體表(《CNS 11643》96年公布)
𠡲	U+20872	zhào	cns11643	CNS-20260805:5-2C2A	罕用國字標準字體表(《CNS 11643》96年公布)
𠡴	U+20874	lí	cns11643	CNS-20260805:15-2E34	內政部戶政用字(《CNS 11643》96年公布)
𠡵	U+20875	wù	cns11643	CNS-20260805:15-2E35	內政部戶政用字(《CNS 11643》96年公布)
𠡹	U+20879	cán	cns11643	CNS-20260805:6-3557	異體國字字表(《CNS 11643》96年公布)
𠡼	U+2087C	xù	cns11643	CNS-20260805:6-3D4E	異體國字字表(《CNS 11643》96年公布)
𠡽	U+2087D	jié qíng	cns11643	CNS-20260805:6-3D4C	異體國字字表(《CNS 11643》96年公布)
𠡾	U+2087E	yì	cns11643	CNS-20260805:6-3D4F	異體國字字表(《CNS 11643》96年公布)
𠡿	U+2087F	bīng	cns11643	CNS-20260805:6-3D50	異體國字字表(《CNS 11643》96年公布)
𠢀	U+20880	qín	cns11643	CNS-20260805:6-3D51	異體國字字表(《CNS 11643》96年公布)
𠢂	U+20882	xié	cns11643	CNS-20260805:15-3339	內政部戶政用字(《CNS 11643》96年公布)
𠢅	U+20885	qián	cns11643	CNS-20260805:5-3669	罕用國字標準字體表(《CNS 11643》96年公布)
𠢈	U+20888	jǔ	cns11643	CNS-20260805:5-366B	罕用國字標準字體表(《CNS 11643》96年公布)
𠢉	U+20889	yì	cns11643	CNS-20260805:5-3667	罕用國字標準字體表(《CNS 11643》96年公布)
𠢋	U+2088B	yún	cns11643	CNS-20260805:15-3950	內政部戶政用字(《CNS 11643》96年公布)
𠢎	U+2088E	jiù	cns11643	CNS-20260805:6-466F	異體國字字表(《CNS 11643》96年公布)
𠢏	U+2088F	juàn	cns11643	CNS-20260805:6-4670	異體國字字表(《CNS 11643》96年公布)
𠢐	U+20890	lí	cns11643	CNS-20260805:10-2845	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠢖	U+20896	miǎn	cns11643	CNS-20260805:6-5072	異體國字字表(《CNS 11643》96年公布)
𠢗	U+20897	dí	cns11643	CNS-20260805:6-5071	異體國字字表(《CNS 11643》96年公布)
𠢜	U+2089C	lù	cns11643	CNS-20260805:10-2849	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠢦	U+208A6	zhěng	cns11643	CNS-20260805:5-4468	罕用國字標準字體表(《CNS 11643》96年公布)
𠢧	U+208A7	shēng shèng	cns11643	CNS-20260805:6-5B2E	異體國字字表(《CNS 11643》96年公布)
𠢭	U+208AD	jué	cns11643	CNS-20260805:6-5B2C	異體國字字表(《CNS 11643》96年公布)
𠢸	U+208B8	láo	cns11643	CNS-20260805:15-5357	內政部戶政用字(《CNS 11643》96年公布)
𠢺	U+208BA	juān	cns11643	CNS-20260805:5-5A7D	罕用國字標準字體表(《CNS 11643》96年公布)
𠢻	U+208BB	lǜ	cns11643	CNS-20260805:7-367E	異體國字字表(《CNS 11643》96年公布)
𠢼	U+208BC	xūn	cns11643	CNS-20260805:7-3722	異體國字字表(《CNS 11643》96年公布)
𠢽	U+208BD	wéi	cns11643	CNS-20260805:10-2853	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠢿	U+208BF	léi lèi	cns11643	CNS-20260805:7-3721	異體國字字表(《CNS 11643》96年公布)
𠣀	U+208C0	qiǎng	cns11643	CNS-20260805:5-613C	罕用國字標準字體表(《CNS 11643》96年公布)
𠣁	U+208C1	láo lào	cns11643	CNS-20260805:7-3E7E	異體國字字表(《CNS 11643》96年公布)
𠣃	U+208C3	qiǎng	cns11643	CNS-20260805:7-3F21	異體國字字表(《CNS 11643》96年公布)
𠣅	U+208C5	chì	cns11643	CNS-20260805:5-6755	罕用國字標準字體表(《CNS 11643》96年公布)
𠣆	U+208C6	piào	cns11643	CNS-20260805:7-4D42	異體國字字表(《CNS 11643》96年公布)
𠣋	U+208CB	lǜ	cns11643	CNS-20260805:7-663B	異體國字字表(《CNS 11643》96年公布)
𠣌	U+208CC	zhuò	cns11643	CNS-20260805:5-213D	罕用國字標準字體表(《CNS 11643》96年公布)
𠣍	U+208CD	hàn	cns11643	CNS-20260805:6-2247	異體國字字表(《CNS 11643》96年公布)
𠣎	U+208CE	yòu	cns11643	CNS-20260805:6-2248	異體國字字表(《CNS 11643》96年公布)
𠣏	U+208CF	guā	cns11643	CNS-20260805:5-2235	罕用國字標準字體表(《CNS 11643》96年公布)
𠣓	U+208D3	yún	cns11643	CNS-20260805:15-222A	內政部戶政用字(《CNS 11643》96年公布)
𠣔	U+208D4	chuí	cns11643	CNS-20260805:6-262F	異體國字字表(《CNS 11643》96年公布)
𠣗	U+208D7	yì	cns11643	CNS-20260805:5-2349	罕用國字標準字體表(《CNS 11643》96年公布)
𠣙	U+208D9	xún	cns11643	CNS-20260805:6-2971	異體國字字表(《CNS 11643》96年公布)
𠣚	U+208DA	xún	cns11643	CNS-20260805:6-2970	異體國字字表(《CNS 11643》96年公布)
𠣜	U+208DC	shī	cns11643	CNS-20260805:15-2564	內政部戶政用字(《CNS 11643》96年公布)
𠣝	U+208DD	yún	cns11643	CNS-20260805:15-2565	內政部戶政用字(《CNS 11643》96年公布)
𠣞	U+208DE	jūn	cns11643	CNS-20260805:6-2F2A	異體國字字表(《CNS 11643》96年公布)
𠣟	U+208DF	qūn	cns11643	CNS-20260805:4-284C	罕用國字標準字體表(《CNS 11643》96年公布)
𠣡	U+208E1	xún	cns11643	CNS-20260805:6-2F2C	異體國字字表(《CNS 11643》96年公布)
𠣢	U+208E2	yún	cns11643	CNS-20260805:15-2946	內政部戶政用字(《CNS 11643》96年公布)
𠣣	U+208E3	gài	cns11643	CNS-20260805:6-2F29	異體國字字表(《CNS 11643》96年公布)
𠣤	U+208E4	xún sǔn	cns11643	CNS-20260805:4-2B76	罕用國字標準字體表(《CNS 11643》96年公布)
𠣥	U+208E5	zhǒng	cns11643	CNS-20260805:6-355C	異體國字字表(《CNS 11643》96年公布)
𠣦	U+208E6	jūn	cns11643	CNS-20260805:6-355B	異體國字字表(《CNS 11643》96年公布)
𠣧	U+208E7	chú	cns11643	CNS-20260805:6-355E	異體國字字表(《CNS 11643》96年公布)
𠣨	U+208E8	yí	cns11643	CNS-20260805:6-355F	異體國字字表(《CNS 11643》96年公布)
𠣭	U+208ED	hēng hōng jùn	cns11643	CNS-20260805:10-285A	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠣮	U+208EE	jú qú	cns11643	CNS-20260805:4-305D	異體國字字表(《CNS 11643》96年公布)
𠣯	U+208EF	kuǎi kuài	cns11643	CNS-20260805:6-3D52	異體國字字表(《CNS 11643》96年公布)
𠣱	U+208F1	kuài kuì	cns11643	CNS-20260805:5-312E	罕用國字標準字體表(《CNS 11643》96年公布)
𠣴	U+208F4	fù	cns11643	CNS-20260805:6-3D53	異體國字字表(《CNS 11643》96年公布)
𠣷	U+208F7	jìng	cns11643	CNS-20260805:15-3951	內政部戶政用字(《CNS 11643》96年公布)
𠣹	U+208F9	yù	cns11643	CNS-20260805:4-305B	罕用國字標準字體表(《CNS 11643》96年公布)
𠣼	U+208FC	páo	cns11643	CNS-20260805:15-404F	內政部戶政用字(《CNS 11643》96年公布)
𠣽	U+208FD	jiù	cns11643	CNS-20260805:6-5B2F	異體國字字表(《CNS 11643》96年公布)
𠤁	U+20901	páo	cns11643	CNS-20260805:15-4667	內政部戶政用字(《CNS 11643》96年公布)
𠤂	U+20902	qióng	cns11643	CNS-20260805:10-285D	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠤅	U+20905	è	cns11643	CNS-20260805:7-2C50	異體國字字表(《CNS 11643》96年公布)
𠤈	U+20908	fèng	cns11643	CNS-20260805:7-3723	異體國字字表(《CNS 11643》96年公布)
𠤋	U+2090B	shī	cns11643	CNS-20260805:7-4D43	異體國字字表(《CNS 11643》96年公布)
𠤐	U+20910	zhǎng zhàng cháng	cns11643	CNS-20260805:6-224A	異體國字字表(《CNS 11643》96年公布)
𠤑	U+20911	yí	cns11643	CNS-20260805:6-2630	異體國字字表(《CNS 11643》96年公布)
𠤓	U+20913	yáng	cns11643	CNS-20260805:5-234A	罕用國字標準字體表(《CNS 11643》96年公布)
𠤔	U+20914	zhǐ	cns11643	CNS-20260805:6-2631	異體國字字表(《CNS 11643》96年公布)
𠤙	U+20919	jiù	cns11643	CNS-20260805:6-2F31	異體國字字表(《CNS 11643》96年公布)
𠤚	U+2091A	zhuō zhuó	cns11643	CNS-20260805:6-2F2D	異體國字字表(《CNS 11643》96年公布)
𠤟	U+2091F	zhuō zhuó	cns11643	CNS-20260805:6-3560	異體國字字表(《CNS 11643》96年公布)
𠤡	U+20921	jiān	cns11643	CNS-20260805:15-2E37	內政部戶政用字(《CNS 11643》96年公布)
𠤢	U+20922	qiū	cns11643	CNS-20260805:6-3524	異體國字字表(《CNS 11643》96年公布)
𠤣	U+20923	zī cì	cns11643	CNS-20260805:6-4672	異體國字字表(《CNS 11643》96年公布)
𠤤	U+20924	zhēn	cns11643	CNS-20260805:15-3952	內政部戶政用字(《CNS 11643》96年公布)
𠤥	U+20925	rú	cns11643	CNS-20260805:4-3C3D	異體國字字表(《CNS 11643》96年公布)
𠤭	U+2092D	pǐ zhèng	cns11643	CNS-20260805:15-2131	內政部戶政用字(《CNS 11643》96年公布)
𠤯	U+2092F	bēi	cns11643	CNS-20260805:6-236E	異體國字字表(《CNS 11643》96年公布)
𠤱	U+20931	fǔ	cns11643	CNS-20260805:6-236D	異體國字字表(《CNS 11643》96年公布)
𠤳	U+20933	fǔ	cns11643	CNS-20260805:6-2634	異體國字字表(《CNS 11643》96年公布)
𠤵	U+20935	shēng	cns11643	CNS-20260805:6-2635	異體國字字表(《CNS 11643》96年公布)
𠤸	U+20938	táo yáo	cns11643	CNS-20260805:6-2973	異體國字字表(《CNS 11643》96年公布)
𠤻	U+2093B	bō bǒ fān	cns11643	CNS-20260805:10-2868	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠤿	U+2093F	hán	cns11643	CNS-20260805:5-2833	罕用國字標準字體表(《CNS 11643》96年公布)
𠥀	U+20940	bēi	cns11643	CNS-20260805:6-2F33	異體國字字表(《CNS 11643》96年公布)
𠥁	U+20941	qǐ	cns11643	CNS-20260805:5-2832	罕用國字標準字體表(《CNS 11643》96年公布)
𠥂	U+20942	jiù	cns11643	CNS-20260805:6-2F32	異體國字字表(《CNS 11643》96年公布)
𠥅	U+20945	qū	cns11643	CNS-20260805:15-2947	內政部戶政用字(《CNS 11643》96年公布)
𠥆	U+20946	kuāng wāng	cns11643	CNS-20260805:10-286A	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠥉	U+20949	bì	cns11643	CNS-20260805:5-2C30	罕用國字標準字體表(《CNS 11643》96年公布)
𠥊	U+2094A	jī	cns11643	CNS-20260805:6-3562	異體國字字表(《CNS 11643》96年公布)
𠥋	U+2094B	hū	cns11643	CNS-20260805:6-3561	異體國字字表(《CNS 11643》96年公布)
𠥌	U+2094C	bǐ	cns11643	CNS-20260805:5-2C31	罕用國字標準字體表(《CNS 11643》96年公布)
𠥏	U+2094F	fú	cns11643	CNS-20260805:15-333A	內政部戶政用字(《CNS 11643》96年公布)
𠥒	U+20952	tāo	cns11643	CNS-20260805:6-4673	異體國字字表(《CNS 11643》96年公布)
𠥚	U+2095A	gòu	cns11643	CNS-20260805:6-5B31	異體國字字表(《CNS 11643》96年公布)
𠥡	U+20961	è	cns11643	CNS-20260805:15-4D6A	內政部戶政用字(《CNS 11643》96年公布)
𠥣	U+20963	biān	cns11643	CNS-20260805:7-3725	異體國字字表(《CNS 11643》96年公布)
𠥥	U+20965	huì	cns11643	CNS-20260805:15-5E37	內政部戶政用字(《CNS 11643》96年公布)
𠥭	U+2096D	dāo	cns11643	CNS-20260805:15-2132	內政部戶政用字(《CNS 11643》96年公布)
𠥮	U+2096E	lòu	cns11643	CNS-20260805:5-2238	罕用國字標準字體表(《CNS 11643》96年公布)
𠥯	U+2096F	dǐ	cns11643	CNS-20260805:6-236F	異體國字字表(《CNS 11643》96年公布)
𠥱	U+20971	shēng yuè	cns11643	CNS-20260805:6-2637	異體國字字表(《CNS 11643》96年公布)
𠥳	U+20973	guāng	cns11643	CNS-20260805:15-2566	內政部戶政用字(《CNS 11643》96年公布)
𠥵	U+20975	yě	cns11643	CNS-20260805:5-2834	罕用國字標準字體表(《CNS 11643》96年公布)
𠥶	U+20976	tī	cns11643	CNS-20260805:6-3564	異體國字字表(《CNS 11643》96年公布)
𠥷	U+20977	ōu	cns11643	CNS-20260805:15-4669	內政部戶政用字(《CNS 11643》96年公布)
𠥸	U+20978	tī	cns11643	CNS-20260805:7-4D45	異體國字字表(《CNS 11643》96年公布)
𠥺	U+2097A	ōu	cns11643	CNS-20260805:7-5750	異體國字字表(《CNS 11643》96年公布)
𠥽	U+2097D	zǐ	cns11643	CNS-20260805:5-215A	罕用國字標準字體表(《CNS 11643》96年公布)
𠥾	U+2097E	cù	cns11643	CNS-20260805:5-215B	罕用國字標準字體表(《CNS 11643》96年公布)
𠦀	U+20980	bǎo	cns11643	CNS-20260805:6-224B	異體國字字表(《CNS 11643》96年公布)
𠦄	U+20984	huì	cns11643	CNS-20260805:10-287B	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠦅	U+20985	nián	cns11643	CNS-20260805:4-2245	異體國字字表(《CNS 11643》96年公布)
𠦍	U+2098D	tāo	cns11643	CNS-20260805:6-2374	異體國字字表(《CNS 11643》96年公布)
𠦓	U+20993	běn pī	cns11643	CNS-20260805:6-263A	異體國字字表(《CNS 11643》96年公布)
𠦔	U+20994	shì	cns11643	CNS-20260805:6-2375	異體國字字表(《CNS 11643》96年公布)
𠦕	U+20995	gǒng	cns11643	CNS-20260805:6-263B	異體國字字表(《CNS 11643》96年公布)
𠦖	U+20996	àn	cns11643	CNS-20260805:15-233E	內政部戶政用字(《CNS 11643》96年公布)
𠦘	U+20998	gǒng	cns11643	CNS-20260805:5-2540	罕用國字標準字體表(《CNS 11643》96年公布)
𠦛	U+2099B	bīng	cns11643	CNS-20260805:6-2978	異體國字字表(《CNS 11643》96年公布)
𠦝	U+2099D	zhuó	cns11643	CNS-20260805:15-2567	內政部戶政用字(《CNS 11643》96年公布)
𠦞	U+2099E	běi	cns11643	CNS-20260805:15-2569	內政部戶政用字(《CNS 11643》96年公布)
𠦡	U+209A1	xìng	cns11643	CNS-20260805:15-2568	內政部戶政用字(《CNS 11643》96年公布)
𠦢	U+209A2	xié	cns11643	CNS-20260805:6-2975	異體國字字表(《CNS 11643》96年公布)
𠦥	U+209A5	bù	cns11643	CNS-20260805:15-2E38	內政部戶政用字(《CNS 11643》96年公布)
𠦦	U+209A6	fán	cns11643	CNS-20260805:15-2E39	內政部戶政用字(《CNS 11643》96年公布)
𠦴	U+209B4	jū chē	cns11643	CNS-20260805:6-5078	異體國字字表(《CNS 11643》96年公布)
𠦷	U+209B7	guǎn wò	cns11643	CNS-20260805:6-507B	異體國字字表(《CNS 11643》96年公布)
𠦼	U+209BC	sǔn	cns11643	CNS-20260805:15-4050	內政部戶政用字(《CNS 11643》96年公布)
𠦽	U+209BD	huì	cns11643	CNS-20260805:15-466A	內政部戶政用字(《CNS 11643》96年公布)
𠦾	U+209BE	sè	cns11643	CNS-20260805:15-466B	內政部戶政用字(《CNS 11643》96年公布)
𠧁	U+209C1	dāng	cns11643	CNS-20260805:15-4D6B	內政部戶政用字(《CNS 11643》96年公布)
𠧂	U+209C2	jìng	cns11643	CNS-20260805:15-4D6C	內政部戶政用字(《CNS 11643》96年公布)
𠧃	U+209C3	bì pái pí	cns11643	CNS-20260805:10-2931	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠧄	U+209C4	gàn hán	cns11643	CNS-20260805:7-2140	異體國字字表(《CNS 11643》96年公布)
𠧈	U+209C8	dūn	cns11643	CNS-20260805:7-3726	異體國字字表(《CNS 11643》96年公布)
𠧋	U+209CB	dài zāi zǎi zài	cns11643	CNS-20260805:10-2936	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠧎	U+209CE	luán luàn	cns11643	CNS-20260805:7-4630	異體國字字表(《CNS 11643》96年公布)
𠧏	U+209CF	luán luàn	cns11643	CNS-20260805:7-5278	異體國字字表(《CNS 11643》96年公布)
𠧐	U+209D0	chōu	cns11643	CNS-20260805:7-606A	異體國字字表(《CNS 11643》96年公布)
𠧓	U+209D3	bō bāo	cns11643	CNS-20260805:6-224C	異體國字字表(《CNS 11643》96年公布)
𠧔	U+209D4	dǎi jīng è	cns11643	CNS-20260805:6-2377	異體國字字表(《CNS 11643》96年公布)
𠧗	U+209D7	nòng lòng	cns11643	CNS-20260805:6-2376	異體國字字表(《CNS 11643》96年公布)
𠧜	U+209DC	xī	cns11643	CNS-20260805:6-263C	異體國字字表(《CNS 11643》96年公布)
𠧝	U+209DD	xū	cns11643	CNS-20260805:10-293C	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠧞	U+209DE	zhào	cns11643	CNS-20260805:4-2555	異體國字字表(《CNS 11643》96年公布)
𠧡	U+209E1	zhuān	cns11643	CNS-20260805:6-297B	異體國字字表(《CNS 11643》96年公布)
𠧢	U+209E2	zhuān	cns11643	CNS-20260805:6-297D	異體國字字表(《CNS 11643》96年公布)
𠧣	U+209E3	jìn	cns11643	CNS-20260805:6-297A	異體國字字表(《CNS 11643》96年公布)
𠧥	U+209E5	lí lì	cns11643	CNS-20260805:6-2979	異體國字字表(《CNS 11643》96年公布)
𠧦	U+209E6	zī	cns11643	CNS-20260805:15-256C	內政部戶政用字(《CNS 11643》96年公布)
𠧧	U+209E7	xī	cns11643	CNS-20260805:10-293D	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠧨	U+209E8	gāo jiù	cns11643	CNS-20260805:6-2A22	異體國字字表(《CNS 11643》96年公布)
𠧬	U+209EC	jùn	cns11643	CNS-20260805:15-2948	內政部戶政用字(《CNS 11643》96年公布)
𠧭	U+209ED	pú	cns11643	CNS-20260805:15-2949	內政部戶政用字(《CNS 11643》96年公布)
𠧮	U+209EE	bǔ	cns11643	CNS-20260805:15-294A	內政部戶政用字(《CNS 11643》96年公布)
𠧯	U+209EF	huàn	cns11643	CNS-20260805:15-294B	內政部戶政用字(《CNS 11643》96年公布)
𠧱	U+209F1	nǎi réng	cns11643	CNS-20260805:10-293F	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠧶	U+209F6	kè	cns11643	CNS-20260805:6-3567	異體國字字表(《CNS 11643》96年公布)
𠧸	U+209F8	lǔ	cns11643	CNS-20260805:6-3C7A	異體國字字表(《CNS 11643》96年公布)
𠧺	U+209FA	qián	cns11643	CNS-20260805:6-3D57	異體國字字表(《CNS 11643》96年公布)
𠧻	U+209FB	kè	cns11643	CNS-20260805:6-3D56	異體國字字表(《CNS 11643》96年公布)
𠧽	U+209FD	héng	cns11643	CNS-20260805:6-3D58	異體國字字表(《CNS 11643》96年公布)
𠨀	U+20A00	zhēn	cns11643	CNS-20260805:6-4675	異體國字字表(《CNS 11643》96年公布)
𠨂	U+20A02	ě wǒ	cns11643	CNS-20260805:6-4677	異體國字字表(《CNS 11643》96年公布)
𠨄	U+20A04	xiè	cns11643	CNS-20260805:10-2942	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠨅	U+20A05	nǎi réng	cns11643	CNS-20260805:6-507C	異體國字字表(《CNS 11643》96年公布)
𠨉	U+20A09	bǔ	cns11643	CNS-20260805:15-5358	內政部戶政用字(《CNS 11643》96年公布)
𠨋	U+20A0B	tiáo xī yǒu	cns11643	CNS-20260805:7-634B	異體國字字表(《CNS 11643》96年公布)
𠨏	U+20A0F	yòu	cns11643	CNS-20260805:15-2134	內政部戶政用字(《CNS 11643》96年公布)
𠨐	U+20A10	mǎo áng yǎng	cns11643	CNS-20260805:6-215B	異體國字字表(《CNS 11643》96年公布)
𠨑	U+20A11	máng	cns11643	CNS-20260805:10-2945	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠨒	U+20A12	bì	cns11643	CNS-20260805:4-2246	異體國字字表(《CNS 11643》96年公布)
𠨔	U+20A14	yì	cns11643	CNS-20260805:6-237A	異體國字字表(《CNS 11643》96年公布)
𠨖	U+20A16	zhuàn	cns11643	CNS-20260805:6-2379	異體國字字表(《CNS 11643》96年公布)
𠨛	U+20A1B	yuān yuàn	cns11643	CNS-20260805:6-2F3A	異體國字字表(《CNS 11643》96年公布)
𠨜	U+20A1C	wù	cns11643	CNS-20260805:4-2853	異體國字字表(《CNS 11643》96年公布)
𠨝	U+20A1D	yuān yuàn	cns11643	CNS-20260805:6-356C	異體國字字表(《CNS 11643》96年公布)
𠨞	U+20A1E	qīng	cns11643	CNS-20260805:6-2F3C	異體國字字表(《CNS 11643》96年公布)
𠨟	U+20A1F	juǎn juàn quán	cns11643	CNS-20260805:6-4678	異體國字字表(《CNS 11643》96年公布)
𠨣	U+20A23	dòu tōu	cns11643	CNS-20260805:6-507D	異體國字字表(《CNS 11643》96年公布)
𠨨	U+20A28	qiān	cns11643	CNS-20260805:10-294B	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠨫	U+20A2B	luǎn kūn	cns11643	CNS-20260805:10-294E	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠨬	U+20A2C	zhī	cns11643	CNS-20260805:5-213F	罕用國字標準字體表(《CNS 11643》96年公布)
𠨮	U+20A2E	zè	cns11643	CNS-20260805:6-237B	異體國字字表(《CNS 11643》96年公布)
𠨯	U+20A2F	yǔ	cns11643	CNS-20260805:6-224F	異體國字字表(《CNS 11643》96年公布)
𠨱	U+20A31	chén	cns11643	CNS-20260805:6-2250	異體國字字表(《CNS 11643》96年公布)
𠨳	U+20A33	ề	cns11643	CNS-20260805:10-294F	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠨴	U+20A34	jiè	cns11643	CNS-20260805:4-2247	罕用國字標準字體表(《CNS 11643》96年公布)
𠨶	U+20A36	hóu	cns11643	CNS-20260805:6-237C	異體國字字表(《CNS 11643》96年公布)
𠨹	U+20A39	pài	cns11643	CNS-20260805:5-2240	罕用國字標準字體表(《CNS 11643》96年公布)
𠨺	U+20A3A	chì	cns11643	CNS-20260805:5-223D	罕用國字標準字體表(《CNS 11643》96年公布)
𠨽	U+20A3D	bì	cns11643	CNS-20260805:15-222D	內政部戶政用字(《CNS 11643》96年公布)
𠩁	U+20A41	tóng	cns11643	CNS-20260805:5-2350	罕用國字標準字體表(《CNS 11643》96年公布)
𠩃	U+20A43	yuè	cns11643	CNS-20260805:5-2351	罕用國字標準字體表(《CNS 11643》96年公布)
𠩅	U+20A45	wǎ wà	cns11643	CNS-20260805:10-2953	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠩊	U+20A4A	zhǐ	cns11643	CNS-20260805:6-2A27	異體國字字表(《CNS 11643》96年公布)
𠩋	U+20A4B	chì	cns11643	CNS-20260805:6-2A26	異體國字字表(《CNS 11643》96年公布)
𠩍	U+20A4D	yīng yìng	cns11643	CNS-20260805:6-2A28	異體國字字表(《CNS 11643》96年公布)
𠩎	U+20A4E	zhǎ	cns11643	CNS-20260805:5-2541	罕用國字標準字體表(《CNS 11643》96年公布)
𠩑	U+20A51	páng	cns11643	CNS-20260805:15-256D	內政部戶政用字(《CNS 11643》96年公布)
𠩒	U+20A52	hòu	cns11643	CNS-20260805:15-256E	內政部戶政用字(《CNS 11643》96年公布)
𠩓	U+20A53	tiāo	cns11643	CNS-20260805:10-2958	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠩙	U+20A59	é	cns11643	CNS-20260805:6-2F46	異體國字字表(《CNS 11643》96年公布)
𠩚	U+20A5A	yǒu	cns11643	CNS-20260805:6-2F41	異體國字字表(《CNS 11643》96年公布)
𠩜	U+20A5C	měng	cns11643	CNS-20260805:6-2F45	異體國字字表(《CNS 11643》96年公布)
𠩝	U+20A5D	fáng	cns11643	CNS-20260805:6-2F40	異體國字字表(《CNS 11643》96年公布)
𠩞	U+20A5E	hòu	cns11643	CNS-20260805:6-2F3E	異體國字字表(《CNS 11643》96年公布)
𠩡	U+20A61	bó	cns11643	CNS-20260805:10-295B	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𠩢	U+20A62	tíng	cns11643	CNS-20260805:15-294D	內政部戶政用字(《CNS 11643》96年公布)
𠩣	U+20A63	xiōng	cns11643	CNS-20260805:15-294E	內政部戶政用字(《CNS 11643》96年公布)
𠩦	U+20A66	yí	cns11643	CNS-20260805:6-2F3F	異體國字字表(《CNS 11643》96年公布)
𠩨	U+20A68	nú nǔ	cns11643	CNS-20260805:6-3574	異體國字字表(《CNS 11643》96年公布)
𠩬	U+20A6C	tái lí lì	cns11643	CNS-20260805:6-356F	異體國字字表(《CNS 11643》96年公布)
𠩭	U+20A6D	chún	cns11643	CNS-20260805:6-356D	異體國字字表(《CNS 11643》96年公布)
𠩮	U+20A6E	dùn shǔn	cns11643	CNS-20260805:6-3570	異體國字字表(《CNS 11643》96年公布)
𠩯	U+20A6F	cún	cns11643	CNS-20260805:6-3572	異體國字字表(《CNS 11643》96年公布)
𠩱	U+20A71	shòu shú	cns11643	CNS-20260805:6-356E	異體國字字表(《CNS 11643》96年公布)
