character	code_point	reason
𣻅	U+23EC5	no accepted official reading
𣻆	U+23EC6	no accepted official reading
𣻈	U+23EC8	no accepted official reading
𣻋	U+23ECB	no accepted official reading
𣻳	U+23EF3	no accepted official reading
𣻷	U+23EF7	no accepted official reading
𣻸	U+23EF8	no accepted official reading
𣻹	U+23EF9	no accepted official reading
𣻺	U+23EFA	no accepted official reading
𣻼	U+23EFC	no accepted official reading
𣻽	U+23EFD	no accepted official reading
𣻾	U+23EFE	no accepted official reading
𣼨	U+23F28	no accepted official reading
𣼩	U+23F29	no accepted official reading
𣼪	U+23F2A	no accepted official reading
𣼫	U+23F2B	no accepted official reading
𣼭	U+23F2D	no accepted official reading
𣼮	U+23F2E	no accepted official reading
𣼯	U+23F2F	no accepted official reading
𣼱	U+23F31	no accepted official reading
𣼲	U+23F32	no accepted official reading
𣼳	U+23F33	no accepted official reading
𣼴	U+23F34	no accepted official reading
𣼶	U+23F36	no accepted official reading
𣼷	U+23F37	no accepted official reading
𣼸	U+23F38	no accepted official reading
𣼹	U+23F39	no accepted official reading
𣼺	U+23F3A	no accepted official reading
𣼼	U+23F3C	no accepted official reading
𣼽	U+23F3D	no accepted official reading
𣼾	U+23F3E	no accepted official reading
𣽀	U+23F40	no accepted official reading
𣽁	U+23F41	no accepted official reading
𣽸	U+23F78	no accepted official reading
𣽻	U+23F7B	no accepted official reading
𣽼	U+23F7C	no accepted official reading
𣽾	U+23F7E	no accepted official reading
𣽿	U+23F7F	no accepted official reading
𣾁	U+23F81	no accepted official reading
𣾂	U+23F82	no accepted official reading
𣾃	U+23F83	no accepted official reading
𣾱	U+23FB1	no accepted official reading
𣾲	U+23FB2	no accepted official reading
𣾳	U+23FB3	no accepted official reading
𣾴	U+23FB4	no accepted official reading
𣾵	U+23FB5	no accepted official reading
𣾶	U+23FB6	no accepted official reading
𣾸	U+23FB8	no accepted official reading
𣾹	U+23FB9	no accepted official reading
𣾺	U+23FBA	no accepted official reading
𣾻	U+23FBB	no accepted official reading
𣾼	U+23FBC	no accepted official reading
𣾽	U+23FBD	no accepted official reading
𣾾	U+23FBE	no accepted official reading
𣾿	U+23FBF	no accepted official reading
𣿀	U+23FC0	no accepted official reading
𣿃	U+23FC3	no accepted official reading
𣿄	U+23FC4	no accepted official reading
𣿥	U+23FE5	no accepted official reading
𣿦	U+23FE6	no accepted official reading
𣿧	U+23FE7	no accepted official reading
𣿨	U+23FE8	no accepted official reading
𣿩	U+23FE9	no accepted official reading
𣿪	U+23FEA	no accepted official reading
𣿫	U+23FEB	no accepted official reading
𣿬	U+23FEC	no accepted official reading
𣿭	U+23FED	no accepted official reading
𣿮	U+23FEE	no accepted official reading
𣿯	U+23FEF	no accepted official reading
𤀌	U+2400C	no accepted official reading
𤀍	U+2400D	no accepted official reading
𤀏	U+2400F	no accepted official reading
𤀐	U+24010	no accepted official reading
𤀒	U+24012	no accepted official reading
𤀓	U+24013	no accepted official reading
𤀔	U+24014	no accepted official reading
𤀕	U+24015	no accepted official reading
𤀖	U+24016	no accepted official reading
𤀗	U+24017	no accepted official reading
𤀘	U+24018	no accepted official reading
𤀙	U+24019	no accepted official reading
𤀚	U+2401A	no accepted official reading
𤀛	U+2401B	no accepted official reading
𤀜	U+2401C	no accepted official reading
𤀞	U+2401E	no accepted official reading
𤀸	U+24038	no accepted official reading
𤀺	U+2403A	no accepted official reading
𤀻	U+2403B	no accepted official reading
𤀼	U+2403C	no accepted official reading
𤀽	U+2403D	no accepted official reading
𤁏	U+2404F	no accepted official reading
𤁑	U+24051	no accepted official reading
𤁒	U+24052	no accepted official reading
𤁓	U+24053	no accepted official reading
𤁔	U+24054	no accepted official reading
𤁕	U+24055	no accepted official reading
𤁖	U+24056	no accepted official reading
𤁘	U+24058	no accepted official reading
𤁙	U+24059	no accepted official reading
𤁛	U+2405B	no accepted official reading
𤁠	U+24060	no accepted official reading
𤂉	U+24089	no accepted official reading
𤂋	U+2408B	no accepted official reading
𤂌	U+2408C	no accepted official reading
𤂍	U+2408D	no accepted official reading
𤂧	U+240A7	no accepted official reading
𤂨	U+240A8	no accepted official reading
𤂩	U+240A9	no accepted official reading
𤂪	U+240AA	no accepted official reading
𤂫	U+240AB	no accepted official reading
𤂬	U+240AC	no accepted official reading
𤂭	U+240AD	no accepted official reading
𤂮	U+240AE	no accepted official reading
𤃆	U+240C6	no accepted official reading
𤃇	U+240C7	no accepted official reading
𤃛	U+240DB	no accepted official reading
𤃜	U+240DC	no accepted official reading
𤃝	U+240DD	no accepted official reading
𤃞	U+240DE	no accepted official reading
𤃟	U+240DF	no accepted official reading
𤃠	U+240E0	no accepted official reading
𤃡	U+240E1	no accepted official reading
𤃢	U+240E2	no accepted official reading
𤃤	U+240E4	no accepted official reading
𤃥	U+240E5	no accepted official reading
𤃦	U+240E6	no accepted official reading
𤃧	U+240E7	no accepted official reading
𤃿	U+240FF	no accepted official reading
𤄀	U+24100	no accepted official reading
𤄂	U+24102	no accepted official reading
𤄄	U+24104	no accepted official reading
𤄋	U+2410B	no accepted official reading
𤄌	U+2410C	no accepted official reading
𤄍	U+2410D	no accepted official reading
𤄭	U+2412D	no accepted official reading
𤄯	U+2412F	no accepted official reading
𤄰	U+24130	no accepted official reading
𤄱	U+24131	no accepted official reading
𤄲	U+24132	no accepted official reading
𤄾	U+2413E	no accepted official reading
𤄿	U+2413F	no accepted official reading
𤅄	U+24144	no accepted official reading
𤅈	U+24148	no accepted official reading
𤅕	U+24155	no accepted official reading
𤅖	U+24156	no accepted official reading
𤅜	U+2415C	no accepted official reading
𤅞	U+2415E	no accepted official reading
𤅟	U+2415F	no accepted official reading
𤅧	U+24167	no accepted official reading
𤅵	U+24175	no accepted official reading
𤅶	U+24176	no accepted official reading
𤅺	U+2417A	no accepted official reading
𤆇	U+24187	no accepted official reading
𤆛	U+2419B	no accepted official reading
𤆠	U+241A0	no accepted official reading
𤆣	U+241A3	no accepted official reading
𤆥	U+241A5	no accepted official reading
𤆶	U+241B6	no accepted official reading
𤆷	U+241B7	no accepted official reading
𤆸	U+241B8	no accepted official reading
𤆹	U+241B9	no accepted official reading
𤆻	U+241BB	no accepted official reading
𤇂	U+241C2	no accepted official reading
𤇅	U+241C5	no accepted official reading
𤇤	U+241E4	no accepted official reading
𤇥	U+241E5	no accepted official reading
𤇦	U+241E6	no accepted official reading
𤇧	U+241E7	no accepted official reading
𤇨	U+241E8	no accepted official reading
𤇩	U+241E9	no accepted official reading
𤇮	U+241EE	no accepted official reading
𤇸	U+241F8	no accepted official reading
𤇻	U+241FB	no accepted official reading
𤇼	U+241FC	no accepted official reading
𤈜	U+2421C	no accepted official reading
𤈝	U+2421D	no accepted official reading
𤈞	U+2421E	no accepted official reading
𤈟	U+2421F	no accepted official reading
𤈡	U+24221	no accepted official reading
𤈤	U+24224	no accepted official reading
𤈳	U+24233	no accepted official reading
𤈴	U+24234	no accepted official reading
𤈵	U+24235	no accepted official reading
𤉒	U+24252	no accepted official reading
𤉓	U+24253	no accepted official reading
𤉔	U+24254	no accepted official reading
𤉕	U+24255	no accepted official reading
𤉖	U+24256	no accepted official reading
𤉗	U+24257	no accepted official reading
𤉘	U+24258	no accepted official reading
𤉚	U+2425A	no accepted official reading
𤉛	U+2425B	no accepted official reading
𤉜	U+2425C	no accepted official reading
𤉠	U+24260	no accepted official reading
𤉰	U+24270	no accepted official reading
𤉲	U+24272	no accepted official reading
𤉳	U+24273	no accepted official reading
𤉴	U+24274	no accepted official reading
𤉶	U+24276	no accepted official reading
𤉸	U+24278	no accepted official reading
𤊞	U+2429E	no accepted official reading
𤊟	U+2429F	no accepted official reading
𤊡	U+242A1	no accepted official reading
𤊢	U+242A2	no accepted official reading
𤊣	U+242A3	no accepted official reading
𤊤	U+242A4	no accepted official reading
𤊦	U+242A6	no accepted official reading
𤊧	U+242A7	no accepted official reading
𤊨	U+242A8	no accepted official reading
𤊩	U+242A9	no accepted official reading
𤊪	U+242AA	no accepted official reading
𤊫	U+242AB	no accepted official reading
𤊬	U+242AC	no accepted official reading
𤊭	U+242AD	no accepted official reading
𤊰	U+242B0	no accepted official reading
𤋈	U+242C8	no accepted official reading
𤋊	U+242CA	no accepted official reading
𤋵	U+242F5	no accepted official reading
𤋶	U+242F6	no accepted official reading
𤋷	U+242F7	no accepted official reading
𤋸	U+242F8	no accepted official reading
𤋹	U+242F9	no accepted official reading
𤋻	U+242FB	no accepted official reading
𤋼	U+242FC	no accepted official reading
𤋽	U+242FD	no accepted official reading
𤋾	U+242FE	no accepted official reading
𤋿	U+242FF	no accepted official reading
𤌀	U+24300	no accepted official reading
𤌄	U+24304	no accepted official reading
𤌅	U+24305	no accepted official reading
𤌆	U+24306	no accepted official reading
𤌘	U+24318	no accepted official reading
𤌚	U+2431A	no accepted official reading
𤍅	U+24345	no accepted official reading
𤍆	U+24346	no accepted official reading
𤍉	U+24349	no accepted official reading
𤍊	U+2434A	no accepted official reading
𤍋	U+2434B	no accepted official reading
𤍌	U+2434C	no accepted official reading
𤍞	U+2435E	no accepted official reading
𤍟	U+2435F	no accepted official reading
𤍣	U+24363	no accepted official reading
𤍥	U+24365	no accepted official reading
𤎍	U+2438D	no accepted official reading
𤎎	U+2438E	no accepted official reading
𤎏	U+2438F	no accepted official reading
𤎐	U+24390	no accepted official reading
𤎑	U+24391	no accepted official reading
𤎒	U+24392	no accepted official reading
𤎓	U+24393	no accepted official reading
𤎔	U+24394	no accepted official reading
𤎕	U+24395	no accepted official reading
𤎛	U+2439B	no accepted official reading
𤎜	U+2439C	no accepted official reading
𤎼	U+243BC	no accepted official reading
𤎽	U+243BD	no accepted official reading
𤏢	U+243E2	no accepted official reading
𤏣	U+243E3	no accepted official reading
𤏤	U+243E4	no accepted official reading
𤏥	U+243E5	no accepted official reading
𤏦	U+243E6	no accepted official reading
𤏧	U+243E7	no accepted official reading
𤏨	U+243E8	no accepted official reading
𤏪	U+243EA	no accepted official reading
𤏫	U+243EB	no accepted official reading
𤏬	U+243EC	no accepted official reading
𤏳	U+243F3	no accepted official reading
𤐁	U+24401	no accepted official reading
𤐃	U+24403	no accepted official reading
𤐓	U+24413	no accepted official reading
𤐖	U+24416	no accepted official reading
𤐚	U+2441A	no accepted official reading
𤐛	U+2441B	no accepted official reading
𤐜	U+2441C	no accepted official reading
𤐝	U+2441D	no accepted official reading
𤐠	U+24420	no accepted official reading
𤐡	U+24421	no accepted official reading
𤐴	U+24434	no accepted official reading
𤐵	U+24435	no accepted official reading
𤐶	U+24436	no accepted official reading
𤑈	U+24448	no accepted official reading
𤑉	U+24449	no accepted official reading
𤑌	U+2444C	no accepted official reading
𤑑	U+24451	no accepted official reading
𤑘	U+24458	no accepted official reading
𤑙	U+24459	no accepted official reading
𤑚	U+2445A	no accepted official reading
𤑛	U+2445B	no accepted official reading
𤑫	U+2446B	no accepted official reading
𤑬	U+2446C	no accepted official reading
𤑭	U+2446D	no accepted official reading
𤑮	U+2446E	no accepted official reading
𤑯	U+2446F	no accepted official reading
𤒃	U+24483	no accepted official reading
𤒄	U+24484	no accepted official reading
𤒇	U+24487	no accepted official reading
𤒘	U+24498	no accepted official reading
𤒙	U+24499	no accepted official reading
𤒚	U+2449A	no accepted official reading
𤒛	U+2449B	no accepted official reading
𤒟	U+2449F	no accepted official reading
𤒠	U+244A0	no accepted official reading
𤒨	U+244A8	no accepted official reading
𤒩	U+244A9	no accepted official reading
𤒪	U+244AA	no accepted official reading
𤒴	U+244B4	no accepted official reading
𤒹	U+244B9	no accepted official reading
𤓆	U+244C6	no accepted official reading
𤓇	U+244C7	no accepted official reading
𤓋	U+244CB	no accepted official reading
𤓌	U+244CC	no accepted official reading
𤓍	U+244CD	no accepted official reading
𤓎	U+244CE	no accepted official reading
𤓓	U+244D3	no accepted official reading
𤓘	U+244D8	no accepted official reading
𤓛	U+244DB	no accepted official reading
𤓢	U+244E2	no accepted official reading
𤓩	U+244E9	no accepted official reading
𤓹	U+244F9	no accepted official reading
𤓺	U+244FA	no accepted official reading
𤔛	U+2451B	no accepted official reading
𤔡	U+24521	no accepted official reading
𤔯	U+2452F	no accepted official reading
𤔷	U+24537	no accepted official reading
𤔺	U+2453A	no accepted official reading
𤔻	U+2453B	no accepted official reading
𤔽	U+2453D	no accepted official reading
𤔾	U+2453E	no accepted official reading
𤕁	U+24541	no accepted official reading
𤕆	U+24546	no accepted official reading
𤕔	U+24554	no accepted official reading
𤕸	U+24578	no accepted official reading
𤖟	U+2459F	no accepted official reading
𤖡	U+245A1	no accepted official reading
𤖶	U+245B6	no accepted official reading
𤖸	U+245B8	no accepted official reading
𤖹	U+245B9	no accepted official reading
𤗆	U+245C6	no accepted official reading
𤗖	U+245D6	no accepted official reading
𤗝	U+245DD	no accepted official reading
𤗤	U+245E4	no accepted official reading
𤗲	U+245F2	no accepted official reading
𤗹	U+245F9	no accepted official reading
𤘁	U+24601	no accepted official reading
𤘂	U+24602	no accepted official reading
𤘋	U+2460B	no accepted official reading
𤘒	U+24612	no accepted official reading
𤘓	U+24613	no accepted official reading
𤘨	U+24628	no accepted official reading
𤘩	U+24629	no accepted official reading
𤘪	U+2462A	no accepted official reading
𤙁	U+24641	no accepted official reading
𤙙	U+24659	no accepted official reading
𤙥	U+24665	no accepted official reading
𤙬	U+2466C	no accepted official reading
𤙮	U+2466E	no accepted official reading
𤙶	U+24676	no accepted official reading
𤚆	U+24686	no accepted official reading
𤚦	U+246A6	no accepted official reading
𤚧	U+246A7	no accepted official reading
𤚷	U+246B7	no accepted official reading
𤛇	U+246C7	no accepted official reading
𤛓	U+246D3	no accepted official reading
𤛔	U+246D4	no accepted official reading
𤛞	U+246DE	no accepted official reading
𤛠	U+246E0	no accepted official reading
𤛨	U+246E8	no accepted official reading
𤜆	U+24706	no accepted official reading
𤜎	U+2470E	no accepted official reading
𤜟	U+2471F	no accepted official reading
𤜠	U+24720	no accepted official reading
𤜥	U+24725	no accepted official reading
𤜪	U+2472A	no accepted official reading
𤜬	U+2472C	no accepted official reading
𤜭	U+2472D	no accepted official reading
𤜮	U+2472E	no accepted official reading
𤝋	U+2474B	no accepted official reading
𤝫	U+2476B	no accepted official reading
𤞐	U+24790	no accepted official reading
𤞑	U+24791	no accepted official reading
𤞒	U+24792	no accepted official reading
𤞓	U+24793	no accepted official reading
𤞔	U+24794	no accepted official reading
𤞕	U+24795	no accepted official reading
𤞖	U+24796	no accepted official reading
𤞦	U+247A6	no accepted official reading
𤞧	U+247A7	no accepted official reading
𤞩	U+247A9	no accepted official reading
𤞪	U+247AA	no accepted official reading
𤞫	U+247AB	no accepted official reading
𤞺	U+247BA	no accepted official reading
𤞻	U+247BB	no accepted official reading
𤞼	U+247BC	no accepted official reading
𤞽	U+247BD	no accepted official reading
𤟂	U+247C2	no accepted official reading
𤟛	U+247DB	no accepted official reading
𤟮	U+247EE	no accepted official reading
𤟯	U+247EF	no accepted official reading
𤟰	U+247F0	no accepted official reading
𤟱	U+247F1	no accepted official reading
𤠂	U+24802	no accepted official reading
𤠃	U+24803	no accepted official reading
𤠅	U+24805	no accepted official reading
𤠆	U+24806	no accepted official reading
𤠈	U+24808	no accepted official reading
𤠉	U+24809	no accepted official reading
𤠮	U+2482E	no accepted official reading
𤠰	U+24830	no accepted official reading
𤠱	U+24831	no accepted official reading
𤠲	U+24832	no accepted official reading
𤠴	U+24834	no accepted official reading
𤡈	U+24848	no accepted official reading
𤡉	U+24849	no accepted official reading
𤡊	U+2484A	no accepted official reading
𤡋	U+2484B	no accepted official reading
𤡚	U+2485A	no accepted official reading
𤡛	U+2485B	no accepted official reading
𤡷	U+24877	no accepted official reading
𤡸	U+24878	no accepted official reading
𤢇	U+24887	no accepted official reading
𤢈	U+24888	no accepted official reading
𤢛	U+2489B	no accepted official reading
𤢤	U+248A4	no accepted official reading
𤢥	U+248A5	no accepted official reading
𤢫	U+248AB	no accepted official reading
𤢬	U+248AC	no accepted official reading
𤢽	U+248BD	no accepted official reading
𤢾	U+248BE	no accepted official reading
𤢿	U+248BF	no accepted official reading
𤣂	U+248C2	no accepted official reading
𤣄	U+248C4	no accepted official reading
𤣕	U+248D5	no accepted official reading
𤣖	U+248D6	no accepted official reading
𤣚	U+248DA	no accepted official reading
𤣡	U+248E1	no accepted official reading
𤣳	U+248F3	no accepted official reading
𤣾	U+248FE	no accepted official reading
𤣿	U+248FF	no accepted official reading
𤤀	U+24900	no accepted official reading
𤤁	U+24901	no accepted official reading
𤤖	U+24916	no accepted official reading
𤤙	U+24919	no accepted official reading
𤤰	U+24930	no accepted official reading
𤤳	U+24933	no accepted official reading
𤤿	U+2493F	no accepted official reading
𤥀	U+24940	no accepted official reading
𤥁	U+24941	no accepted official reading
𤥂	U+24942	no accepted official reading
𤥐	U+24950	no accepted official reading
𤥑	U+24951	no accepted official reading
𤥝	U+2495D	no accepted official reading
𤥠	U+24960	no accepted official reading
𤥡	U+24961	no accepted official reading
𤥢	U+24962	no accepted official reading
𤥣	U+24963	no accepted official reading
𤦆	U+24986	no accepted official reading
𤦇	U+24987	no accepted official reading
𤦈	U+24988	no accepted official reading
𤦉	U+24989	no accepted official reading
𤦊	U+2498A	no accepted official reading
𤦋	U+2498B	no accepted official reading
𤦌	U+2498C	no accepted official reading
𤦎	U+2498E	no accepted official reading
𤦏	U+2498F	no accepted official reading
𤦧	U+249A7	no accepted official reading
𤦵	U+249B5	no accepted official reading
𤦶	U+249B6	no accepted official reading
𤦷	U+249B7	no accepted official reading
𤦸	U+249B8	no accepted official reading
𤦻	U+249BB	no accepted official reading
𤧀	U+249C0	no accepted official reading
𤧱	U+249F1	no accepted official reading
𤧳	U+249F3	no accepted official reading
𤧵	U+249F5	no accepted official reading
𤧶	U+249F6	no accepted official reading
𤧷	U+249F7	no accepted official reading
𤧸	U+249F8	no accepted official reading
𤨒	U+24A12	no accepted official reading
𤨞	U+24A1E	no accepted official reading
𤨟	U+24A1F	no accepted official reading
𤨠	U+24A20	no accepted official reading
𤨡	U+24A21	no accepted official reading
𤨢	U+24A22	no accepted official reading
𤨣	U+24A23	no accepted official reading
𤨤	U+24A24	no accepted official reading
𤨥	U+24A25	no accepted official reading
𤨦	U+24A26	no accepted official reading
𤨧	U+24A27	no accepted official reading
𤨩	U+24A29	no accepted official reading
𤨿	U+24A3F	no accepted official reading
𤩊	U+24A4A	no accepted official reading
𤩌	U+24A4C	no accepted official reading
𤩍	U+24A4D	no accepted official reading
𤩎	U+24A4E	no accepted official reading
𤩏	U+24A4F	no accepted official reading
𤩐	U+24A50	no accepted official reading
𤩑	U+24A51	no accepted official reading
𤩠	U+24A60	no accepted official reading
𤩢	U+24A62	no accepted official reading
𤩳	U+24A73	no accepted official reading
𤩶	U+24A76	no accepted official reading
𤩸	U+24A78	no accepted official reading
𤩹	U+24A79	no accepted official reading
𤩺	U+24A7A	no accepted official reading
𤪊	U+24A8A	no accepted official reading
𤪑	U+24A91	no accepted official reading
𤪔	U+24A94	no accepted official reading
𤪕	U+24A95	no accepted official reading
𤪧	U+24AA7	no accepted official reading
𤪯	U+24AAF	no accepted official reading
𤪲	U+24AB2	no accepted official reading
𤪳	U+24AB3	no accepted official reading
𤫇	U+24AC7	no accepted official reading
𤫋	U+24ACB	no accepted official reading
𤫏	U+24ACF	no accepted official reading
𤫑	U+24AD1	no accepted official reading
𤫙	U+24AD9	no accepted official reading
𤫠	U+24AE0	no accepted official reading
𤫡	U+24AE1	no accepted official reading
𤫢	U+24AE2	no accepted official reading
𤫿	U+24AFF	no accepted official reading
𤬀	U+24B00	no accepted official reading
𤬅	U+24B05	no accepted official reading
𤬲	U+24B32	no accepted official reading
𤬸	U+24B38	no accepted official reading
𤭇	U+24B47	no accepted official reading
𤭖	U+24B56	no accepted official reading
𤭚	U+24B5A	no accepted official reading
𤭤	U+24B64	no accepted official reading
𤭭	U+24B6D	no accepted official reading
𤭮	U+24B6E	no accepted official reading
𤭯	U+24B6F	no accepted official reading
𤭵	U+24B75	no accepted official reading
𤭶	U+24B76	no accepted official reading
𤭸	U+24B78	no accepted official reading
𤮃	U+24B83	no accepted official reading
𤮄	U+24B84	no accepted official reading
𤮑	U+24B91	no accepted official reading
𤮒	U+24B92	no accepted official reading
𤮗	U+24B97	no accepted official reading
𤮞	U+24B9E	no accepted official reading
𤮟	U+24B9F	no accepted official reading
𤮠	U+24BA0	no accepted official reading
𤮣	U+24BA3	no accepted official reading
𤮥	U+24BA5	no accepted official reading
𤮾	U+24BBE	no accepted official reading
𤮿	U+24BBF	no accepted official reading
𤯆	U+24BC6	no accepted official reading
𤯊	U+24BCA	no accepted official reading
𤯑	U+24BD1	no accepted official reading
𤯨	U+24BE8	no accepted official reading
𤯩	U+24BE9	no accepted official reading
𤯭	U+24BED	no accepted official reading
𤯰	U+24BF0	no accepted official reading
𤯱	U+24BF1	no accepted official reading
𤯵	U+24BF5	no accepted official reading
𤯺	U+24BFA	no accepted official reading
𤯿	U+24BFF	no accepted official reading
𤰁	U+24C01	no accepted official reading
𤰉	U+24C09	no accepted official reading
𤰷	U+24C37	no accepted official reading
𤱔	U+24C54	no accepted official reading
𤱢	U+24C62	no accepted official reading
𤱻	U+24C7B	no accepted official reading
𤲀	U+24C80	no accepted official reading
𤲁	U+24C81	no accepted official reading
𤲂	U+24C82	no accepted official reading
𤲌	U+24C8C	no accepted official reading
𤲞	U+24C9E	no accepted official reading
𤲟	U+24C9F	no accepted official reading
𤲪	U+24CAA	no accepted official reading
𤲼	U+24CBC	no accepted official reading
𤲾	U+24CBE	no accepted official reading
𤳄	U+24CC4	no accepted official reading
𤳆	U+24CC6	no accepted official reading
𤳇	U+24CC7	no accepted official reading
𤳢	U+24CE2	no accepted official reading
𤴆	U+24D06	no accepted official reading
𤵄	U+24D44	no accepted official reading
𤵉	U+24D49	no accepted official reading
𤼈	U+24F08	no accepted official reading
𥖁	U+25581	no accepted official reading
𥖖	U+25596	no accepted official reading
𥙐	U+25650	no accepted official reading
𥩘	U+25A58	no accepted official reading
𥩻	U+25A7B	no accepted official reading
𥪳	U+25AB3	no accepted official reading
𥲭	U+25CAD	no accepted official reading
𥸯	U+25E2F	no accepted official reading
𥹘	U+25E58	no accepted official reading
𥹰	U+25E70	no accepted official reading
𥻻	U+25EFB	no accepted official reading
𦊏	U+2628F	no accepted official reading
𦙌	U+2664C	no accepted official reading
𦚶	U+266B6	no accepted official reading
𦛈	U+266C8	no accepted official reading
𦟶	U+267F6	no accepted official reading
𦤱	U+26931	no accepted official reading
𦬢	U+26B22	no accepted official reading
𦿛	U+26FDB	no accepted official reading
𧏯	U+273EF	no accepted official reading
𧐠	U+27420	no accepted official reading
𧐢	U+27422	no accepted official reading
𧜳	U+27733	no accepted official reading
𧲽	U+27CBD	no accepted official reading
𨁪	U+2806A	no accepted official reading
𨁬	U+2806C	no accepted official reading
𨃽	U+280FD	no accepted official reading
𨄂	U+28102	no accepted official reading
𨖲	U+285B2	no accepted official reading
𨫍	U+28ACD	no accepted official reading
𨻮	U+28EEE	no accepted official reading
𩐃	U+29403	no accepted official reading
𩹓	U+29E53	no accepted official reading
𩹕	U+29E55	no accepted official reading
𩹝	U+29E5D	no accepted official reading
𩹡	U+29E61	no accepted official reading
𩹩	U+29E69	no accepted official reading
𩹪	U+29E6A	no accepted official reading
𩹫	U+29E6B	no accepted official reading
𩹬	U+29E6C	no accepted official reading
𩹭	U+29E6D	no accepted official reading
𩹮	U+29E6E	no accepted official reading
𩹯	U+29E6F	no accepted official reading
𩹰	U+29E70	no accepted official reading
𩺋	U+29E8B	no accepted official reading
𩺘	U+29E98	no accepted official reading
𩺡	U+29EA1	no accepted official reading
𩺢	U+29EA2	no accepted official reading
𩺣	U+29EA3	no accepted official reading
𩺤	U+29EA4	no accepted official reading
𩺥	U+29EA5	no accepted official reading
𩺦	U+29EA6	no accepted official reading
𩺨	U+29EA8	no accepted official reading
𩺩	U+29EA9	no accepted official reading
𩺪	U+29EAA	no accepted official reading
𩺬	U+29EAC	no accepted official reading
𩺿	U+29EBF	no accepted official reading
𩻀	U+29EC0	no accepted official reading
𩻁	U+29EC1	no accepted official reading
𩻂	U+29EC2	no accepted official reading
𩻃	U+29EC3	no accepted official reading
𩻄	U+29EC4	no accepted official reading
𩻏	U+29ECF	no accepted official reading
𩻑	U+29ED1	no accepted official reading
𩻒	U+29ED2	no accepted official reading
𩻓	U+29ED3	no accepted official reading
𩻔	U+29ED4	no accepted official reading
𩻕	U+29ED5	no accepted official reading
𩻩	U+29EE9	no accepted official reading
𩻬	U+29EEC	no accepted official reading
𩻭	U+29EED	no accepted official reading
𩻮	U+29EEE	no accepted official reading
𩻰	U+29EF0	no accepted official reading
𩻹	U+29EF9	no accepted official reading
𩻺	U+29EFA	no accepted official reading
𩻻	U+29EFB	no accepted official reading
𩻽	U+29EFD	no accepted official reading
𩻿	U+29EFF	no accepted official reading
𩼀	U+29F00	no accepted official reading
𩼁	U+29F01	no accepted official reading
𩼓	U+29F13	no accepted official reading
𩼔	U+29F14	no accepted official reading
𩼕	U+29F15	no accepted official reading
𩼛	U+29F1B	no accepted official reading
𩼢	U+29F22	no accepted official reading
𩼣	U+29F23	no accepted official reading
𩼤	U+29F24	no accepted official reading
𩼯	U+29F2F	no accepted official reading
𩼰	U+29F30	no accepted official reading
𩼶	U+29F36	no accepted official reading
𩼷	U+29F37	no accepted official reading
𩼸	U+29F38	no accepted official reading
𩼹	U+29F39	no accepted official reading
𩼺	U+29F3A	no accepted official reading
𩽅	U+29F45	no accepted official reading
𩽉	U+29F49	no accepted official reading
𩽊	U+29F4A	no accepted official reading
𩽋	U+29F4B	no accepted official reading
𩽒	U+29F52	no accepted official reading
𩽔	U+29F54	no accepted official reading
𩽖	U+29F56	no accepted official reading
𩽗	U+29F57	no accepted official reading
𩽙	U+29F59	no accepted official reading
𩽢	U+29F62	no accepted official reading
𩽤	U+29F64	no accepted official reading
𩽥	U+29F65	no accepted official reading
𩽲	U+29F72	no accepted official reading
𩽸	U+29F78	no accepted official reading
𩽿	U+29F7F	no accepted official reading
𩾨	U+29FA8	no accepted official reading
𩿍	U+29FCD	no accepted official reading
𩿎	U+29FCE	no accepted official reading
𩿘	U+29FD8	no accepted official reading
𩿙	U+29FD9	no accepted official reading
𩿚	U+29FDA	no accepted official reading
𩿯	U+29FEF	no accepted official reading
𩿰	U+29FF0	no accepted official reading
𩿻	U+29FFB	no accepted official reading
𪀄	U+2A004	no accepted official reading
𪀅	U+2A005	no accepted official reading
𪀆	U+2A006	no accepted official reading
𪀎	U+2A00E	no accepted official reading
𪀮	U+2A02E	no accepted official reading
𪀯	U+2A02F	no accepted official reading
𪀻	U+2A03B	no accepted official reading
𪁂	U+2A042	no accepted official reading
𪁃	U+2A043	no accepted official reading
𪁄	U+2A044	no accepted official reading
𪁅	U+2A045	no accepted official reading
𪁆	U+2A046	no accepted official reading
𪁳	U+2A073	no accepted official reading
𪁴	U+2A074	no accepted official reading
𪁵	U+2A075	no accepted official reading
𪁶	U+2A076	no accepted official reading
𪂖	U+2A096	no accepted official reading
𪂩	U+2A0A9	no accepted official reading
𪂫	U+2A0AB	no accepted official reading
𪂮	U+2A0AE	no accepted official reading
𪂯	U+2A0AF	no accepted official reading
𪂱	U+2A0B1	no accepted official reading
𪂲	U+2A0B2	no accepted official reading
𪂳	U+2A0B3	no accepted official reading
𪃞	U+2A0DE	no accepted official reading
𪃟	U+2A0DF	no accepted official reading
𪃡	U+2A0E1	no accepted official reading
𪃫	U+2A0EB	no accepted official reading
𪃮	U+2A0EE	no accepted official reading
𪃱	U+2A0F1	no accepted official reading
𪃲	U+2A0F2	no accepted official reading
𪃵	U+2A0F5	no accepted official reading
𪃷	U+2A0F7	no accepted official reading
𪃸	U+2A0F8	no accepted official reading
